,player_id,batsman,line,length,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate,Country
29,34102,Rohit Sharma,ON_THE_STUMPS,GOOD_LENGTH,895,797,41,21.83,112.3,India
30,308967,Jos Buttler,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,1028,792,20,51.4,129.8,England
31,323389,Mohammad Rizwan,ON_THE_STUMPS,GOOD_LENGTH,934,784,12,77.83,119.13,Pakistan
32,642519,Shreyas Iyer,OUTSIDE_OFFSTUMP,GOOD_LENGTH,862,782,28,30.79,110.23,India
33,425943,Sanju Samson,OUTSIDE_OFFSTUMP,GOOD_LENGTH,854,765,31,27.55,111.63,India
34,219889,David Warner,OUTSIDE_OFFSTUMP,GOOD_LENGTH,941,757,23,40.91,124.31,Australia
35,326637,Chris Lynn,OUTSIDE_OFFSTUMP,GOOD_LENGTH,946,757,27,35.04,124.97,Australia
36,325026,Glenn Maxwell,ON_THE_STUMPS,GOOD_LENGTH,1020,743,39,26.15,137.28,Australia
37,277916,Ajinkya Rahane,OUTSIDE_OFFSTUMP,GOOD_LENGTH,722,732,33,21.88,98.63,India
38,249866,Alex Hales,ON_THE_STUMPS,GOOD_LENGTH,934,722,42,22.24,129.36,England
39,321777,David Miller,OUTSIDE_OFFSTUMP,GOOD_LENGTH,734,720,24,30.58,101.94,South Africa
40,42657,Shoaib Malik,ON_THE_STUMPS,GOOD_LENGTH,873,714,23,37.96,122.27,Pakistan
41,604302,Nicholas Pooran,OUTSIDE_OFFSTUMP,GOOD_LENGTH,809,709,39,20.74,114.1,West Indies
42,51862,Andre Fletcher,OUTSIDE_OFFSTUMP,GOOD_LENGTH,750,707,30,25.0,106.08,West Indies
43,34102,Rohit Sharma,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,959,702,26,36.88,136.61,India
44,8180,Shane Watson,OUTSIDE_OFFSTUMP,GOOD_LENGTH,735,691,27,27.22,106.37,Australia
45,44828,Faf du Plessis,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,860,689,26,33.08,124.82,South Africa
46,326637,Chris Lynn,ON_THE_STUMPS,GOOD_LENGTH,821,685,34,24.15,119.85,Australia
47,5334,Aaron Finch,ON_THE_STUMPS,GOOD_LENGTH,719,684,34,21.15,105.12,Australia
48,298438,Jason Roy,OUTSIDE_OFFSTUMP,GOOD_LENGTH,785,677,44,17.84,115.95,England
49,230559,Kieron Pollard,OUTSIDE_OFFSTUMP,GOOD_LENGTH,698,677,30,23.27,103.1,West Indies
50,321777,David Miller,ON_THE_STUMPS,GOOD_LENGTH,843,674,32,26.34,125.07,South Africa
51,5334,Aaron Finch,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,814,659,22,37.0,123.52,Australia
52,44936,AB de Villiers,OUTSIDE_OFFSTUMP,GOOD_LENGTH,886,657,25,35.44,134.86,South Africa
53,1070173,Shubman Gill,OUTSIDE_OFFSTUMP,GOOD_LENGTH,782,639,22,35.55,122.38,India
54,296597,James Vince,OUTSIDE_OFFSTUMP,GOOD_LENGTH,679,639,26,26.12,106.26,England
55,226492,Martin Guptill,OUTSIDE_OFFSTUMP,GOOD_LENGTH,662,636,26,25.46,104.09,New Zealand
56,56143,Shakib Al Hasan,OUTSIDE_OFFSTUMP,GOOD_LENGTH,793,630,24,33.04,125.87,Bangladesh
57,230559,Kieron Pollard,ON_THE_STUMPS,GOOD_LENGTH,620,630,27,22.96,98.41,West Indies
58,219889,David Warner,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,879,629,23,38.22,139.75,Australia
59,931581,Rishabh Pant,OUTSIDE_OFFSTUMP,GOOD_LENGTH,789,629,20,39.45,125.44,India
60,642519,Shreyas Iyer,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,707,628,18,39.28,112.58,India
61,290630,Manish Pandey,OUTSIDE_OFFSTUMP,GOOD_LENGTH,638,626,19,33.58,101.92,India
62,536936,Litton Das,OUTSIDE_OFFSTUMP,GOOD_LENGTH,670,625,34,19.71,107.2,Bangladesh
63,267192,Steven Smith,OUTSIDE_OFFSTUMP,GOOD_LENGTH,727,622,27,26.93,116.88,Australia
64,298438,Jason Roy,ON_THE_STUMPS,GOOD_LENGTH,790,619,34,23.24,127.63,England
65,33141,Ambati Rayudu,OUTSIDE_OFFSTUMP,GOOD_LENGTH,707,617,23,30.74,114.59,India
66,325012,Marcus Stoinis,ON_THE_STUMPS,GOOD_LENGTH,630,616,28,22.5,102.27,Australia
67,512191,Fakhar Zaman,OUTSIDE_OFFSTUMP,GOOD_LENGTH,779,614,32,24.34,126.87,Pakistan
68,41434,Mohammad Hafeez,OUTSIDE_OFFSTUMP,GOOD_LENGTH,657,613,24,27.38,107.18,Pakistan
69,446507,Suryakumar Yadav,ON_THE_STUMPS,GOOD_LENGTH,814,612,23,35.39,133.01,India
70,333066,Johnson Charles,OUTSIDE_OFFSTUMP,GOOD_LENGTH,815,611,27,30.19,133.39,West Indies
71,604302,Nicholas Pooran,ON_THE_STUMPS,GOOD_LENGTH,699,603,20,34.95,115.92,West Indies
72,323389,Mohammad Rizwan,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,668,601,12,55.67,111.15,Pakistan
73,325012,Marcus Stoinis,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,772,598,22,35.09,129.1,Australia
74,53116,Lendl Simmons,OUTSIDE_OFFSTUMP,GOOD_LENGTH,668,595,25,26.72,112.27,West Indies
