,player_id,batsman,shot,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate
345,512191,Fakhar Zaman,CUT_SHOT,479,328,14,34.21,146.04
346,641387,Max Holden,VERTICAL_FORWARD_ATTACK,478,333,13,36.77,143.54
347,5961,Moises Henriques,ON_DRIVE,477,412,30,15.9,115.78
348,233514,Thisara Perera,ON_DRIVE,477,264,16,29.81,180.68
349,25913,Mohammad Nabi,FLICK,475,432,12,39.58,109.95
350,51862,Andre Fletcher,PULL,475,242,16,29.69,196.28
351,318845,Rilee Rossouw,COVER_DRIVE,475,333,11,43.18,142.64
352,299572,Sikandar Raza,PULL,475,200,20,23.75,237.5
353,219889,David Warner,SLOG_SHOT,475,212,24,19.79,224.06
354,325026,Glenn Maxwell,CUT_SHOT,473,351,11,43.0,134.76
355,642519,Shreyas Iyer,COVER_DRIVE,472,319,11,42.91,147.96
356,51880,Chris Gayle,FLICK,472,485,10,47.2,97.32
357,333066,Johnson Charles,SLOG_SHOT,471,222,28,16.82,212.16
358,554691,Axar Patel,ON_DRIVE,470,349,15,31.33,134.67
359,379140,Devon Conway,FLICK,470,362,4,117.5,129.83
360,1099224,Will Smeed,VERTICAL_FORWARD_ATTACK,469,360,17,27.59,130.28
361,446507,Suryakumar Yadav,PULL,469,196,16,29.31,239.29
362,51862,Andre Fletcher,COVER_DRIVE,469,290,12,39.08,161.72
363,46148,Richard Levi,PULL_HOOK_ON_BACK_FOOT,469,186,9,52.11,252.15
364,45705,Colin Ingram,PULL_HOOK_ON_BACK_FOOT,468,198,19,24.63,236.36
365,581379,Shai Hope,COVER_DRIVE,467,291,10,46.7,160.48
366,47015,Jacques Rudolph,VERTICAL_FORWARD_ATTACK,466,366,10,46.6,127.32
367,35582,Robin Uthappa,FLICK,465,324,16,29.06,143.52
368,302269,Chris Dent,VERTICAL_FORWARD_ATTACK,465,317,18,25.83,146.69
369,230559,Kieron Pollard,COVER_DRIVE,465,274,14,33.21,169.71
370,326637,Chris Lynn,SLOG_SHOT,464,212,36,12.89,218.87
371,737833,Kiran Carlson,VERTICAL_FORWARD_ATTACK,463,338,20,23.15,136.98
372,600498,Aiden Markram,COVER_DRIVE,462,306,9,51.33,150.98
373,56143,Shakib Al Hasan,CUT_SHOT,462,371,13,35.54,124.53
374,290630,Manish Pandey,PULL,462,243,12,38.5,190.12
375,720471,Ishan Kishan,ON_DRIVE,461,337,13,35.46,136.8
376,581379,Shai Hope,ON_DRIVE,460,285,11,41.82,161.4
377,603410,Ben McDermott,ON_DRIVE,460,364,14,32.86,126.37
378,446507,Suryakumar Yadav,CUT_SHOT,456,333,14,32.57,136.94
379,35582,Robin Uthappa,ON_DRIVE,456,342,15,30.4,133.33
380,44936,AB de Villiers,SLOG_SHOT,456,155,13,35.08,294.19
381,53118,Dwayne Smith,ON_DRIVE,455,290,15,30.33,156.9
382,230558,Sunil Narine,COVER_DRIVE,454,271,21,21.62,167.53
383,572199,Ryan Higgins,PULL_HOOK_ON_BACK_FOOT,454,233,11,41.27,194.85
384,631668,Stephen Eskinazi,PULL_HOOK_ON_BACK_FOOT,451,208,8,56.38,216.83
385,604302,Nicholas Pooran,CUT_SHOT,450,395,19,23.68,113.92
386,56143,Shakib Al Hasan,PULL,450,245,15,30.0,183.67
387,226492,Martin Guptill,COVER_DRIVE,450,312,12,37.5,144.23
388,720471,Ishan Kishan,FLICK,449,380,12,37.42,118.16
389,41434,Mohammad Hafeez,ON_DRIVE,449,294,14,32.07,152.72
390,403902,Liam Livingstone,SLOG_SHOT,449,207,28,16.04,216.91
391,33141,Ambati Rayudu,PULL,447,202,12,37.25,221.29
392,625371,Hardik Pandya,SLOG_SHOT,447,201,26,17.19,222.39
393,37737,Brendon McCullum,ON_DRIVE,446,284,17,26.24,157.04
394,272450,Mitchell Marsh,ON_DRIVE,446,325,11,40.55,137.23
395,256956,Laurie Evans,PULL_HOOK_ON_BACK_FOOT,445,221,8,55.62,201.36
396,323389,Mohammad Rizwan,COVER_DRIVE,445,331,8,55.62,134.44
397,56143,Shakib Al Hasan,COVER_DRIVE,444,312,15,29.6,142.31
398,308408,Josh Cobb,PULL_HOOK_ON_BACK_FOOT,443,192,16,27.69,230.73
399,642519,Shreyas Iyer,CUT_SHOT,442,328,15,29.47,134.76
400,8180,Shane Watson,FLICK,442,362,10,44.2,122.1
401,246005,Sam Northeast,PULL_HOOK_ON_BACK_FOOT,442,261,11,40.18,169.35
402,391485,Jason Holder,ON_DRIVE,442,290,23,19.22,152.41
403,781285,Jake Weatherald,PULL,441,194,11,40.09,227.32
404,51862,Andre Fletcher,SLOG_SHOT,440,186,31,14.19,236.56
405,232359,Colin Munro,VERTICAL_FORWARD_ATTACK,440,299,16,27.5,147.16
406,381743,Daryl Mitchell,ON_DRIVE,440,286,17,25.88,153.85
407,931581,Rishabh Pant,COVER_DRIVE,440,296,8,55.0,148.65
408,298438,Jason Roy,SLOG_SHOT,439,189,24,18.29,232.28
409,17970,Daryl Mitchell,VERTICAL_FORWARD_ATTACK,438,384,15,29.2,114.06
410,470633,Tom Kohler-Cadmore,PULL_HOOK_ON_BACK_FOOT,437,195,15,29.13,224.1
411,887207,Ollie Pope,VERTICAL_FORWARD_ATTACK,436,327,9,48.44,133.33
412,914541,Sherfane Rutherford,PULL,433,184,15,28.87,235.33
413,246005,Sam Northeast,CUT_SHOT_ON_BACK_FOOT,433,343,14,30.93,126.24
414,931581,Rishabh Pant,CUT_SHOT,433,342,8,54.12,126.61
415,308798,D'Arcy Short,COVER_DRIVE,431,284,6,71.83,151.76
416,820351,Rovman Powell,FLICK,430,375,20,21.5,114.67
417,603410,Ben McDermott,FLICK,430,397,10,43.0,108.31
418,276298,Andre Russell,CUT_SHOT,430,297,16,26.88,144.78
419,56194,Tamim Iqbal,ON_DRIVE,430,295,10,43.0,145.76
420,823509,Glenn Phillips,COVER_DRIVE,430,312,13,33.08,137.82
421,290630,Manish Pandey,FLICK,429,377,15,28.6,113.79
422,562281,Aneurin Donald,VERTICAL_FORWARD_ATTACK,429,306,16,26.81,140.2
423,297628,Sam Billings,FLICK,429,359,20,21.45,119.5
424,28081,MS Dhoni,FLICK,427,377,7,61.0,113.26
425,516039,Alex Davies,CUT_SHOT_ON_BACK_FOOT,426,285,17,25.06,149.47
426,23460,Luke Wright,CUT_SHOT_ON_BACK_FOOT,426,278,14,30.43,153.24
427,403902,Liam Livingstone,FLICK,426,356,8,53.25,119.66
428,30045,Dinesh Karthik,ON_DRIVE,426,279,13,32.77,152.69
429,46543,Wayne Madsen,CUT_SHOT_ON_BACK_FOOT,425,295,12,35.42,144.07
430,530011,Travis Head,ON_DRIVE,425,307,13,32.69,138.44
431,253802,Virat Kohli,SLOG_SHOT,425,200,25,17.0,212.5
432,5961,Moises Henriques,FLICK,424,382,11,38.55,110.99
433,823509,Glenn Phillips,SLOG_SHOT,424,175,19,22.32,242.29
434,823509,Glenn Phillips,CUT_SHOT,423,319,9,47.0,132.6
435,893955,Ollie Robinson,VERTICAL_FORWARD_ATTACK,423,321,14,30.21,131.78
436,1070173,Shubman Gill,CUT_SHOT,422,283,8,52.75,149.12
437,56194,Tamim Iqbal,COVER_DRIVE,421,283,11,38.27,148.76
438,603410,Ben McDermott,VERTICAL_FORWARD_ATTACK,420,261,13,32.31,160.92
439,1060380,Ruturaj Gaikwad,COVER_DRIVE,420,257,4,105.0,163.42
440,381743,Daryl Mitchell,VERTICAL_FORWARD_ATTACK,417,216,6,69.5,193.06
441,333066,Johnson Charles,CUT_SHOT,416,331,11,37.82,125.68
442,233680,Jonathan Wells,CUT_SHOT,416,293,7,59.43,141.98
443,536936,Litton Das,COVER_DRIVE,416,288,12,34.67,144.44
444,298438,Jason Roy,COVER_DRIVE,415,321,13,31.92,129.28
445,12454,Joe Denly,PULL_HOOK_ON_BACK_FOOT,415,201,8,51.88,206.47
446,663613,Saif Zaib,VERTICAL_FORWARD_ATTACK,414,266,12,34.5,155.64
447,669365,Phil Salt,COVER_DRIVE,414,261,11,37.64,158.62
448,459761,Ben Raine,VERTICAL_FORWARD_ATTACK,414,323,9,46.0,128.17
449,236489,Dawid Malan,PULL_HOOK_ON_BACK_FOOT,414,201,12,34.5,205.97
450,25913,Mohammad Nabi,COVER_DRIVE,413,253,14,29.5,163.24
451,51880,Chris Gayle,COVER_DRIVE,413,272,15,27.53,151.84
452,277916,Ajinkya Rahane,PULL,413,204,13,31.77,202.45
453,437316,Dasun Shanaka,ON_DRIVE,413,257,18,22.94,160.7
454,318845,Rilee Rossouw,FLICK,411,319,10,41.1,128.84
455,28081,MS Dhoni,SLOG_SHOT,410,156,13,31.54,262.82
456,670035,Brandon King,PULL,410,248,18,22.78,165.32
457,272450,Mitchell Marsh,FLICK,410,314,14,29.29,130.57
458,230371,Ben Cutting,ON_DRIVE,409,243,12,34.08,168.31
